,entityid,domain,time_of_run,failed,reason_for_failure,file_path
0,53739,no web page as of 7/97,2023-06-09 01:29:52,1,NoJSON,
1,54072,www.adacellworks.co,2023-06-09 01:29:53,1,NoJSON,
2,54274,www.ads.com and www.orion.com,2023-06-09 01:29:54,1,NoJSON,
3,54640,www.agentisitnernational.com,2023-06-09 01:29:55,1,NoJSON,
4,55716,No web page,2023-06-09 01:32:56,1,NoJSON,
5,56341,www.appliedisotopetechnologies,2023-06-09 01:33:06,1,NoJSON,
6,56393,www.applix.xom,2023-06-09 01:33:06,1,NoJSON,
7,57808,"No, as of 2/97.",2023-06-09 01:33:18,1,NoJSON,
8,59707,www.bluefn.com,2023-06-09 01:33:27,1,403 Client Error: FORBIDDEN for url: https://web.archive.org/web/timemap/json?url=www.bluefn.com/,
9,60287,www.bridgepharmaceuticals.com,2023-06-09 01:34:49,1,Timeout,
10,60292,www.bridgelux.com,2023-06-09 01:34:53,1,Timeout,
11,60410,www.braodbandenergynetworks.com,2023-06-09 01:35:22,1,NoJSON,
12,60659,www.bulldogit.com,2023-06-09 01:36:18,1,ConnectionError,
13,60660,www.bulldogresearch.com,2023-06-09 01:36:19,1,ConnectionError,
14,60662,www.bullhorn.com,2023-06-09 01:36:19,1,ConnectionError,
15,60758,www.cotagesoft.com,2023-06-09 01:36:38,1,Timeout,
16,60785,www.buy.com,2023-06-09 01:36:43,1,ConnectionError,
17,60786,www.buyandhold.com,2023-06-09 01:36:46,1,ConnectionError,
18,60953,no web site as of 3/11/97,2023-06-09 01:37:17,1,NoJSON,
19,61064,www.calistogopharma.com,2023-06-09 01:37:39,1,NoJSON,
20,61196,www.cameronhealth.com,2023-06-09 01:38:09,1,ConnectionError,
21,61323,www.capesemi.com,2023-06-09 01:38:26,1,NoJSON,
22,61477,www.respicardia.com,2023-06-09 01:38:54,1,Timeout,
23,61509,www.cardiokine.com,2023-06-09 01:39:03,1,Timeout,
24,61601,www.cargotech.com,2023-06-09 01:39:49,1,Timeout,
25,61751,www.caserev.com,2023-06-09 01:40:09,1,Timeout,
26,61820,www.catalinamarketing.co.com,2023-06-09 01:40:20,1,NoJSON,
27,61922,www.cbca.com,2023-06-09 01:40:43,1,Timeout,
28,62208,www.centagentix.com,2023-06-09 01:41:29,1,NoJSON,
29,62248,www.centerstonesoft.com,2023-06-09 01:41:41,1,Timeout,
30,62256,www.centigram.com,2023-06-09 01:41:42,1,ConnectionError,
31,62258,www.centillium.com,2023-06-09 01:41:42,1,ConnectionError,
32,62260,www.centive.com,2023-06-09 01:41:43,1,ConnectionError,
