entityid,domain,time_of_run,earliest_screenshot,start_date_with_buffer,latest_screenshot,end_date_with_buffer,file_path,failed,reason_for_failure
76894,www.inphonic.com,2023-06-13 00:47:27,2000-08-19 01:03:23,1999-04-29 00:00:00,2000-08-19 01:03:23,2005-05-15,optimal_timestamps/76894_timestamps.csv,0,
1045338032,www.verahealthcare.com,2023-06-13 00:47:27,,,,,,1,Missing start date
633462,www.dose.com,2023-06-13 00:47:27,2009-01-22 01:52:00,2008-11-02 00:00:00,2023-06-03 16:14:59,2023-06-06,optimal_timestamps/633462_timestamps.csv,0,
1050670109,www.eatatcolbies.com,2023-06-13 00:47:27,,2013-01-01,,,,1,No JSON data
661335,www.securityscorecard.com,2023-06-13 00:47:27,2014-06-24 14:59:11,2013-01-02 00:00:00,2023-06-01 11:38:05,2023-06-06,optimal_timestamps/661335_timestamps.csv,0,
1034367383,www.crnrstone.com,2023-06-13 00:47:27,2002-04-08 10:12:49,2001-07-05 00:00:00,2023-05-03 14:05:01,2023-06-06,optimal_timestamps/1034367383_timestamps.csv,0,
75367,www.hydrocision.com,2023-06-13 00:47:27,2000-08-23 16:55:03,1995-04-04 00:00:00,2011-02-11 05:35:18,2011-03-15,optimal_timestamps/75367_timestamps.csv,0,
1048898126,www.cellanome.com,2023-06-13 00:47:27,2021-11-27 00:34:08,2019-07-05 00:00:00,2023-05-19 05:31:55,2023-06-06,optimal_timestamps/1048898126_timestamps.csv,0,
58565,www.baxano.com,2023-06-13 00:47:27,2006-03-04 01:21:57,2004-12-12 00:00:00,2013-07-23 06:20:09,2013-11-27,optimal_timestamps/58565_timestamps.csv,0,
1043446358,www.clearlist.com,2023-06-13 00:47:27,2020-05-14 22:09:12,2019-07-05 00:00:00,2023-03-23 04:06:17,2023-06-06,optimal_timestamps/1043446358_timestamps.csv,0,
