entityid,domain,time_of_run,earliest_screenshot,start_date_with_buffer,latest_screenshot,end_date_with_buffer,file_path,failed,reason_for_failure
57971,www.axyspharm.net,2023-06-14 14:56:56,,2000-12-15,,2023-06-06,,1,No timestamps within company life span
62912,www.churchcity.com,2023-06-14 14:56:56,,1999-12-04,,2023-06-06,,1,No timestamps within company life span
63554,www.cobotics.com,2023-06-14 14:56:56,,1996-10-03,,2023-06-06,,1,No timestamps within company life span
64535,www.contract-staffing.com,2023-06-14 14:56:56,,1991-02-02,,2005-06-28,,1,No timestamps within company life span
64567,www.convergencemediagroup.com,2023-06-14 14:56:56,,1998-11-02,,2023-06-06,,1,No timestamps within company life span
67870,www.ebidenergy.com,2023-06-14 14:56:56,,1996-02-03,,2006-08-13,,1,No timestamps within company life span
67901,www.ecpayments.com,2023-06-14 14:56:56,,1999-01-02,,2023-06-06,,1,No timestamps within company life span
67911,www.ecargoservice.com,2023-06-14 14:56:56,,1999-05-05,,2023-06-06,,1,No timestamps within company life span
68261,www.eguanxi.com,2023-06-14 14:56:56,,2002-02-28,,2023-06-06,,1,No timestamps within company life span
68422,www.ednconnect.com,2023-06-14 14:56:56,,2003-06-03,,2004-05-28,,1,No timestamps within company life span
68786,www.endforce.com,2023-06-14 14:56:56,,2006-07-15,,2007-07-10,,1,No timestamps within company life span
69283,www.equaterra.com,2023-06-14 14:56:56,,2010-08-22,,2011-08-17,,1,No timestamps within company life span
71828,www.fuelmansouthflorida.com,2023-06-14 14:56:56,,2000-07-19,,2023-06-06,,1,No timestamps within company life span
72349,www.genedax.com,2023-06-14 14:56:56,,1996-09-02,,2023-06-06,,1,No timestamps within company life span
72554,www.geocities.com,2023-06-14 14:56:58,,1994-06-04,,1999-02-07,,1,No timestamps within company life span
74407,www.hearstargyle.com,2023-06-14 14:56:58,,1996-12-03,,1997-11-28,,1,No timestamps within company life span
81189,www.logicstream.net,2023-06-14 14:56:58,,2000-01-29,,2023-06-06,,1,No timestamps within company life span
81744,www.magicworksllc.com,2023-06-14 14:56:58,,2003-02-02,,2023-06-06,,1,No timestamps within company life span
81968,www.manticorepharm.com,2023-06-14 14:56:58,,2005-08-13,,2023-06-06,,1,No timestamps within company life span
82498,www.mcecompanies.com,2023-06-14 14:56:58,,2003-03-07,,2023-06-06,,1,No timestamps within company life span
82696,www.mediabin.com,2023-06-14 14:56:58,,2003-01-01,,2023-06-06,,1,No timestamps within company life span
83404,www.metrixnetworks.com,2023-06-14 14:56:58,,2005-03-19,,2023-06-06,,1,No timestamps within company life span
86072,www.neuvis.com,2023-06-14 14:56:58,,2002-02-10,,2003-02-05,,1,No timestamps within company life span
87673,www.onestoptele.com,2023-06-14 14:56:58,,1999-06-25,,2023-06-06,,1,No timestamps within company life span
87761,www.onloan.com,2023-06-14 14:56:58,,1999-10-02,,2023-06-06,,1,No timestamps within company life span
88007,www.optic-wave.com,2023-06-14 14:56:58,,2009-11-01,,2023-06-06,,1,No timestamps within company life span
88819,www.panlabs.com,2023-06-14 14:56:58,,1995-02-22,,2023-06-06,,1,No timestamps within company life span
