"","entityid","weburl","pb_companyid","startdate","lastVC","ownershipstatus","exit_date"
"1",1018615691,"www.hopeworks.org","","1999-01-01","2021-08-01","Private & Independent",""
"2",659469,"www.apploi.com","63930-25","2013-01-01","2022-03-22","Private & Independent",""
"3",1047194786,"sites.google.com/silartek.com/main","","2020-05-11","2022-04-01","Private & Independent",""
"4",1048362221,"www.lilypad-labs.com","","2021-02-08","2021-10-15","Private & Independent",""
"5",635633,"www.shockwavemedical.com","","2009-06-23","2019-03-07","Publicly-held","2019-03-07"
"6",1049296295,"www.truesource.io","","2021-06-22","2021-07-08","Private & Independent",""
"7",626443,"www.giantmedia.com","","2009-01-01","2014-03-10","Acquired/Merged","2014-03-10"
"8",1050086261,"www.tutr.co","","2018-01-01","2021-01-25","Private & Independent",""
"9",54662,"www.agilera.com","","1996-01-01","2003-04-01","Acquired/Merged","2003-04-01"
"10",1050192875,"www.alumninations.com","","2014-01-01","2022-07-01","Private & Independent",""
"11",1004165561,"www.psru.org","","2007-03-21","2021-10-25","Out of Business",""
"12",70156,"www.mediamind.com","","1999-09-01","2010-08-12","Publicly-held","2010-08-12"
"13",1045513901,"www.genotwin.com","","2020-01-01","2021-12-01","Private & Independent",""
"14",617413,"www.tumultco.com","","2010-12-20","2011-01-28","Private & Independent",""
"15",727900,"www.sproutpharma.com","","2011-11-16","2015-08-20","Acquired/Merged","2015-08-20"
"16",54763,"www.aimtech.net","","1996-01-01","2000-05-26","Out of Business",""
"17",62342,"www.cerberian.com","","2000-08-01","2004-11-16","Acquired/Merged","2004-11-16"
"18",228264,"www.transcorpspine.com","","2008-01-01","2011-05-04","Private & Independent",""
"19",1045421867,"www.pontofootwear.com","","2018-01-01","2022-03-25","Private & Independent",""
"20",707051,"www.gettingles.com","","2017-08-10","2018-05-08","Private & Independent",""
"21",1014182030,"www.miravistalabs.com","","2002-01-01","2021-03-01","Private & Independent",""
"22",1017021674,"www.passportforhealth.com","","2007-09-11","2021-01-21","Private & Independent",""
"23",725981,"www.buyersedgeplatform.com","","2018-01-01","2019-07-08","Private & Independent",""
"24",1051059134,"www.contoro.com","","2022-01-01","2022-10-01","Private & Independent",""
"25",71446,"www.fortifysoftware.com","","2003-02-01","2010-09-21","Acquired/Merged","2010-09-21"
"26",1045423055,"www.mailmodo.com","","2020-01-01","2021-07-22","Private & Independent",""
"27",1051211000,"www.clostra.com","","2013-01-01","2022-01-01","Private & Independent",""
"28",1017152354,"www.smart-ria.com","","2011-01-01","2023-03-30","Private & Independent",""
"29",1043842511,"www.commehomme.com","","2020-01-01","2021-07-30","Private & Independent",""
"30",110318,"www.step-labs.com","","2003-01-01","2009-04-24","Acquired/Merged","2009-04-24"
"31",1046903033,"www.saysh.com","","2020-01-01","2022-06-08","Private & Independent",""
"32",1047251135,"www.raesedoinc.com","","2019-01-01","2022-11-16","Private & Independent",""
"33",676681,"www.axiomexergy.com","","2013-11-01","2018-05-09","Private & Independent",""
"34",112570,"www.olo.com","54025-84","2005-06-01","2021-03-17","Private & Independent","2021-03-17"
"35",606143,"www.etacts.com","","2010-02-01","2010-12-22","Acquired/Merged","2010-12-22"
"36",1051704884,"www.getbean.com","","2021-01-01","2022-08-15","Private & Independent",""
"37",703014,"www.univfy.com","58279-06","2009-11-06","2021-12-20","Private & Independent",""
"38",701016,"www.kixfranchise.com","","2016-07-01","2017-12-18","Private & Independent",""
"39",1050703058,"www.backstopneural.com","","2018-01-01","2022-09-06","Private & Independent",""
"40",1046703323,"www.simpu.co","","2020-01-01","2022-10-31","Private & Independent",""
